Name,Nvel,Type,Dist,f_Dist,i,L3_6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,Qual,Ref,L16a,L16b,S4G,EDD,SimbadName,NEDname,_RA,_DE
"CamB",9,10,3.36,2,65.0,0.075,1.21,7.89,0.47,66.2,0.012,1.21,0.0,2,"Bm03",0,1,0,1,"NAME Cam B","NAME Cam B",73.27958,67.09917
"D512-2",4,10,15.2,1,56.0,0.325,2.37,9.22,1.24,93.94,0.081,0.0,0.0,2,"Tr09",0,1,0,0,"ESDO 512-02","ESDO 512-02",218.33465,26.99804
"D564-8",6,10,8.79,2,63.0,0.033,0.72,10.11,0.61,21.13,0.029,0.0,0.0,2,"Tr09",0,1,0,0,"ESDO 564-8","ESDO 564-8",135.72232,20.07561
"D631-7",16,10,7.72,2,59.0,0.196,1.22,20.93,0.7,115.04,0.29,0.0,57.7,1,"Tr09,dB01",1,1,0,0,"ESDO 631-7","ESDO 631-7",119.25428,14.39657
"DDO064",14,10,6.8,1,60.0,0.157,1.2,17.41,0.69,151.65,0.211,3.49,46.1,1,"dB02,Sw02",0,1,0,0,"DDO064","DDO064",147.59487,31.48828
"DDO154",12,10,4.04,2,64.0,0.053,0.65,19.99,0.37,71.26,0.275,4.96,47.0,2,"Be91,CB89",1,1,0,0,"DDO154","DDO154",193.52187,27.14963
"DDO161",31,10,7.5,1,70.0,0.548,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1,"Co00",1,1,0,0,"DDO161","DDO161",195.81973,-17.42303
"DDO168",10,10,4.25,2,63.0,0.191,1.29,18.23,1.02,92.22,0.413,4.3,53.4,2,"Sa96,Br92",1,1,0,1,"DDO168","DDO168",198.61666,45.91976
"DDO170",8,10,15.4,1,66.0,0.543,3.03,9.39,1.95,73.93,0.735,9.14,60.0,2,"Be91,La90",1,1,0,0,"DDO170","DDO170",198.97408,25.43615
"ESO079-G014",15,4,28.7,1,79.0,51.733,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,1,"Ge04",1,1,0,0,"ESO079-G014","ESO079-G014",15.71436,-65.60999
"ESO116-G012",15,7,13.0,1,74.0,4.292,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,1,"Ge04",1,1,0,0,"ESO116-G012","ESO116-G012",48.26977,-57.35725
"ESO444-G084",7,10,4.83,2,32.0,0.071,0.75,19.81,0.46,66.81,0.135,2.95,0.0,2,"Co00",0,1,0,0,"ESO444-G084","ESO444-G084",204.335,-28.04417
"ESO563-G021",30,4,60.8,1,83.0,311.177,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,1,"SG06",1,1,0,0,"ESO563-G021","ESO563-G021",131.82075,-20.03566
"F561-1",6,9,66.4,1,24.0,4.077,5.39,22.12,2.79,93.07,1.622,10.69,50.0,3,"dB97,dB96",0,0,0,0,"LSB F561-1","LSB F561-1",122.38583,22.55944
"F563-1",17,9,48.9,1,25.0,1.903,4.61,14.22,3.52,41.77,3.2,23.47,109.9,1,"KN08,dB96",0,0,0,0,"LSB F563-1","LSB F563-1",133.75583,19.75167
"F563-V1",6,10,54.0,1,60.0,1.54,5.01,9.75,3.79,40.63,0.61,6.83,0.0,3,"dB97,dB96",0,0,0,0,"VLSB F563-V01","VLSB F563-V01",131.6575,18.89028
"F563-V2",10,10,59.7,1,29.0,2.986,4.49,23.6,2.43,146.16,2.169,11.37,116.6,1,"dB01,dB96",0,0,0,0,"VLSB F563-V02","VLSB F563-V02",133.25833,18.43833
"F565-V2",7,10,51.8,1,60.0,0.559,3.57,6.93,2.17,40.26,0.699,7.31,0.0,2,"dB97,dB96",0,1,0,0,"VLSB F565-V02","VLSB F565-V02",144.4025,21.77083
"F567-2",5,9,79.0,1,20.0,2.134,5.43,11.5,3.08,46.65,2.449,14.94,0.0,3,"dB97,dB96",0,0,0,0,"LSB F567-2","LSB F567-2",154.48458,21.06139
"F568-1",12,5,90.7,1,26.0,6.252,7.0,20.36,5.18,57.13,4.498,16.31,0.0,1,"dB01,dB96",0,0,0,0,"LSB F568-1","LSB F568-1",156.42542,22.42444
"F568-3",18,7,82.4,1,40.0,8.346,7.47,23.81,4.99,132.08,3.195,16.14,0.0,1,"KN08,dB96",0,1,0,0,"LSB F568-3","LSB F568-3",156.74583,22.22667
"F568-V1",15,7,80.6,1,40.0,3.825,4.4,31.39,2.85,90.54,2.491,14.38,112.3,1,"dB01,dB96",1,1,0,0,"VLSB F568-V01","VLSB F568-V01",161.2586,22.05432
"F571-8",13,5,53.3,1,85.0,10.164,1.4,825.71,3.56,87.26,1.782,24.55,139.7,1,"dB01,dB96",1,1,0,0,"LSB F571-8","LSB F571-8",173.47625,19.355
"F571-V1",7,7,80.1,1,30.0,1.849,4.38,15.3,2.47,64.39,1.217,10.1,83.6,2,"dB97,dB96",0,1,0,0,"VLSB F571-V01","VLSB F571-V01",171.575,18.83167
