PlateIFU,MaNGAID,M*[Msun],Reff[kpc],fDM(Reff)
8441-6104,1-252508,35095452797.34736,4.12,0.867
10220-12702,1-153142,53962268682.65669,5.818,0.572
11952-3704,1-634318,163847545550.2675,5.231,0.108
10221-6103,1-230090,47799691095.25577,4.572,0.354
10518-6103,1-182523,80243710052.79558,5.505,0.192
10839-3704,1-53120,11390650065.121649,2.537,0.272
10844-3701,1-181550,185679167382.2185,8.409,0.001
11018-9101,1-233665,133559618541.71625,6.002,0.341
10844-3702,1-78117,43780899488.28734,3.673,0.001
11823-12703,1-324389,40407788281.13096,4.56,0.113
12087-3702,1-117763,306705518331.0673,8.058,0.054
11977-6103,1-325684,114002918627.61406,5.917,0.146
12491-3703,1-62060,42049131487.384346,2.024,0.184
10492-6102,1-380000,96790853616.74225,4.111,0.245
11868-3701,1-269915,98497554963.55681,4.054,0.011
11866-6102,1-1038,84037088948.73367,5.092,0.313
11979-3704,1-273110,64724827252.94056,3.574,0.148
12490-9101,1-138276,21090642005.71178,3.954,0.746
10224-12703,1-603624,101521288230.67397,8.554,0.123
11823-1902,1-269887,128303168030.31204,5.653,0.028
12487-12705,1-387136,157431538639.8334,6.994,0.005
11750-6101,1-397168,64606546985.29812,4.67,0.208
11004-12705,1-457074,64597733433.75429,6.179,0.001
11743-12705,1-604873,19337908456.533554,4.7,0.136
10519-12704,1-183175,83028604768.18936,10.622,0.781
11019-3701,1-151970,36659961961.4143,7.699,0.511
11750-6104,1-397451,94038497160.33067,3.838,0.068
11022-12704,1-368603,23972032068.460075,2.892,0.028
11750-9101,1-397456,41694101566.280304,5.437,0.009
11017-9101,1-319387,35023415789.07678,3.959,0.22
10840-1901,1-76744,8167987416.299081,1.437,0.019
11019-12701,1-151896,164835629122.52805,13.317,0.0
11025-3703,1-24091,67944564606.996216,2.794,0.098
8546-12704,1-91131,8585234260.302849,4.813,0.247
8546-3704,1-91923,11076140854.477808,2.839,0.015
8546-6101,1-91944,11854205998.6229,4.143,0.861
12079-3703,1-35747,21174814284.355934,2.304,0.108
10519-6102,1-586574,30553830147.42007,6.572,0.797
10840-3704,1-76694,42076287121.445,5.322,0.007
10519-6104,1-183193,123910537252.44748,4.735,0.028
11746-6101,1-218690,112239506888.21179,5.196,0.002
11953-3704,1-283152,47782412149.386856,2.404,0.038
11025-12701,1-23485,141089511567.32794,14.123,0.05
10519-9102,1-182705,83678706831.5508,5.046,0.049
8561-6104,1-92295,200910645967.1201,7.643,0.034
8562-6102,1-93082,29047956798.36948,3.676,0.051
8563-12701,1-92665,20749656902.119118,4.247,0.696
8563-3703,1-542421,187889508347.75604,5.755,0.0
12487-9101,1-386826,21238870651.69615,4.436,0.005
8570-3703,1-41413,56200453493.70441,3.486,0.412
11742-12701,1-122388,63987100341.95794,6.715,0.047
11984-1902,1-273335,26412909298.103394,1.507,0.02
11827-3704,1-320681,61564075200.76042,2.345,0.004
11980-6104,1-272985,229336214699.80725,6.091,0.047
8593-12701,1-576340,68077167864.11726,6.623,0.096
11832-9101,1-151202,95675173839.516,7.167,0.012
11828-12704,1-80494,33185666926.08487,7.528,0.068
8596-12702,1-247082,106762398011.51509,7.823,0.003
10518-9101,1-78873,74560824184.42097,5.788,0.588
11746-9101,1-218669,10998626140.782463,1.741,0.149
11866-3702,1-954,39547327464.073326,3.426,0.192
11745-6104,1-123312,62558272860.19729,5.879,0.453
11743-9102,1-458706,82083101907.88623,5.63,0.131
10520-12704,1-79664,27561441626.425594,8.091,0.815
11020-3701,1-196444,250378959326.3236,7.612,0.08
8609-12704,1-446700,23736398251.32686,7.27,0.843
11944-1902,1-200351,197754529659.13928,7.157,0.015
8614-9102,1-547143,199538448011.56512,14.121,0.075
11867-3702,1-53278,79026675064.86888,3.51,0.001
11760-6103,1-233531,33611828581.610268,3.573,0.323
11009-9101,1-456269,132903647443.18437,6.188,0.152
8619-6102,1-114098,89892823154.49855,11.286,0.003
11978-3701,1-294587,124104211610.14034,4.007,0.103
10222-12702,1-50480,114126989138.51804,10.664,0.004
11760-3703,1-233563,29221654392.278683,2.605,0.201
8651-6103,1-179208,20532250303.698185,3.642,0.135
8652-3701,1-26390,234627719804.41095,7.193,0.008
12079-12705,1-35716,25314178024.742645,5.242,0.009
8657-12702,1-31776,23045419071.52692,5.249,0.349
11957-12702,1-150906,36908171502.89852,4.289,0.046
12491-9102,1-62063,49326523754.471504,14.546,0.014
12485-6104,1-407685,218944812585.48526,7.142,0.131
11984-6102,1-324698,57774270437.812874,4.421,0.11
11866-12701,1-811,251342164034.93848,12.03,0.376
12082-6101,1-36357,113074917615.92929,5.878,0.01
11753-3703,1-606121,51856386426.30836,4.938,0.005
11826-12704,1-404130,10343434771.1273,5.267,0.93
8723-12701,1-605245,75959351795.8285,9.266,0.001
8723-12702,1-46694,25984928729.877396,5.033,0.506
7979-9101,1-115277,91650842169.33987,6.432,0.05
11867-3703,1-76873,58714374691.107704,3.207,0.039
12484-12705,1-575186,301056327851.0922,13.991,0.015
12514-12704,1-9923,12087196432.229467,5.125,0.498
10841-6103,1-77488,188987626177.52344,6.979,0.001
8327-12701,1-250806,29342506536.45954,5.176,0.068
11759-12702,1-606022,26821548033.746353,4.285,0.051
11833-9102,1-175928,36007178362.33631,4.951,0.004
11755-6102,1-282450,126181643576.215,5.585,0.131
11982-3704,1-96434,69551655223.74106,3.827,0.0
10518-12705,1-607996,174310047004.19067,14.095,0.847
11962-1901,1-363685,360003771018.10583,10.554,0.084
11761-12703,1-195331,58059399543.627556,8.252,0.849
12487-3702,1-386913,28522626832.55975,2.608,0.112
11942-6104,1-135440,54537346043.17118,6.725,0.008
11975-3702,1-325492,71004641658.87477,4.734,0.006
8981-9101,1-401876,71055279154.92113,5.174,0.068
11979-12704,1-270321,25613611029.245617,5.976,0.432
7993-3702,1-42187,44470044086.71125,2.246,0.003
11010-1902,1-522278,14670424139.58614,1.823,0.046
10515-9102,1-78580,47174460265.89602,5.245,0.003
11867-3704,1-53854,53689277540.267494,2.649,0.031
